log_id,customer_id,movement_type,success_rate,response_time_ms,session_date,created_at
1,4,grasp,98.5,85,2024-12-01,2024-12-01 10:30:00
2,4,release,97.2,92,2024-12-01,2024-12-01 11:15:00
3,4,flex,96.8,88,2024-12-01,2024-12-01 14:20:00
4,5,grasp,92.3,105,2024-12-01,2024-12-01 09:45:00
5,5,release,91.7,112,2024-12-01,2024-12-01 10:30:00
6,6,grasp,99.1,78,2024-12-01,2024-12-01 08:15:00
7,6,flex,98.7,82,2024-12-01,2024-12-01 12:45:00
8,4,rotate,98.9,103,2025-10-01,2025-10-01 17:58:00
9,4,rotate,98.2,97,2025-10-01,2025-10-01 09:47:00
10,4,grasp,92.5,93,2025-10-01,2025-10-01 12:00:00
11,4,rotate,93.8,123,2025-10-01,2025-10-01 18:31:00
12,5,rotate,90.1,93,2025-10-01,2025-10-01 09:44:00
13,5,grasp,96.1,84,2025-10-01,2025-10-01 14:01:00
14,5,point,92.7,88,2025-10-01,2025-10-01 15:14:00
15,5,point,98.0,109,2025-10-01,2025-10-01 10:06:00
16,6,point,98.1,117,2025-10-01,2025-10-01 09:53:00
17,6,grasp,96.9,76,2025-10-01,2025-10-01 16:56:00
18,6,rotate,98.1,109,2025-10-01,2025-10-01 17:11:00
19,6,release,90.2,112,2025-10-01,2025-10-01 10:52:00
20,7,flex,95.4,103,2025-10-01,2025-10-01 18:22:00
21,7,point,99.4,93,2025-10-01,2025-10-01 16:22:00
22,7,release,95.1,124,2025-10-01,2025-10-01 14:25:00
23,7,flex,98.1,99,2025-10-01,2025-10-01 13:32:00
24,8,point,92.3,85,2025-10-01,2025-10-01 15:51:00
25,8,release,91.7,102,2025-10-01,2025-10-01 11:22:00
26,8,point,96.5,119,2025-10-01,2025-10-01 14:24:00
27,8,point,94.0,78,2025-10-01,2025-10-01 14:24:00
28,4,point,91.4,77,2025-10-02,2025-10-02 10:07:00
29,4,flex,99.4,89,2025-10-02,2025-10-02 08:48:00
30,4,flex,96.2,80,2025-10-02,2025-10-02 08:23:00
31,5,rotate,91.8,95,2025-10-02,2025-10-02 10:44:00
32,5,grasp,93.5,109,2025-10-02,2025-10-02 15:42:00
33,6,point,98.1,107,2025-10-02,2025-10-02 18:18:00
34,6,release,98.4,85,2025-10-02,2025-10-02 15:46:00
35,7,point,92.2,107,2025-10-02,2025-10-02 19:19:00
36,7,rotate,91.7,118,2025-10-02,2025-10-02 08:28:00
37,8,rotate,97.0,100,2025-10-02,2025-10-02 09:21:00
38,8,grasp,90.7,109,2025-10-02,2025-10-02 09:57:00
39,4,grasp,93.2,91,2025-10-03,2025-10-03 18:45:00
40,4,grasp,90.3,105,2025-10-03,2025-10-03 13:14:00
41,4,flex,91.5,94,2025-10-03,2025-10-03 10:51:00
42,5,release,99.4,90,2025-10-03,2025-10-03 17:43:00
43,5,flex,92.0,125,2025-10-03,2025-10-03 15:03:00
44,5,rotate,97.9,87,2025-10-03,2025-10-03 12:30:00
45,6,rotate,95.4,92,2025-10-03,2025-10-03 09:34:00
46,6,point,90.9,77,2025-10-03,2025-10-03 10:37:00
47,6,flex,98.3,95,2025-10-03,2025-10-03 18:19:00
48,6,flex,99.4,103,2025-10-03,2025-10-03 16:33:00
49,7,release,94.3,113,2025-10-03,2025-10-03 19:22:00
50,7,release,96.0,83,2025-10-03,2025-10-03 13:55:00
51,7,grasp,91.2,80,2025-10-03,2025-10-03 14:45:00
52,8,flex,91.1,92,2025-10-03,2025-10-03 14:36:00
53,8,release,92.5,93,2025-10-03,2025-10-03 15:54:00
54,8,point,96.8,77,2025-10-03,2025-10-03 17:41:00
55,8,grasp,90.3,97,2025-10-03,2025-10-03 11:26:00
56,4,point,92.5,125,2025-10-04,2025-10-04 11:24:00
57,4,release,95.2,111,2025-10-04,2025-10-04 19:58:00
58,4,release,95.2,106,2025-10-04,2025-10-04 17:19:00
59,4,release,97.3,95,2025-10-04,2025-10-04 09:30:00
60,5,rotate,94.2,80,2025-10-04,2025-10-04 15:10:00
61,5,point,96.0,98,2025-10-04,2025-10-04 15:49:00
62,6,release,98.8,86,2025-10-04,2025-10-04 14:14:00
63,6,release,96.6,79,2025-10-04,2025-10-04 17:20:00
64,6,rotate,98.1,100,2025-10-04,2025-10-04 09:29:00
65,7,flex,90.2,104,2025-10-04,2025-10-04 11:18:00
66,7,release,91.9,107,2025-10-04,2025-10-04 18:03:00
67,8,release,93.1,92,2025-10-04,2025-10-04 17:09:00
68,8,rotate,91.4,108,2025-10-04,2025-10-04 17:40:00
69,4,point,90.2,93,2025-10-05,2025-10-05 10:06:00
70,4,flex,90.1,90,2025-10-05,2025-10-05 09:15:00
71,4,rotate,98.9,115,2025-10-05,2025-10-05 11:05:00
72,5,release,97.4,91,2025-10-05,2025-10-05 13:20:00
73,5,flex,95.4,103,2025-10-05,2025-10-05 19:13:00
74,6,point,94.1,99,2025-10-05,2025-10-05 13:30:00
75,6,flex,92.4,87,2025-10-05,2025-10-05 12:28:00
76,6,release,98.6,119,2025-10-05,2025-10-05 17:43:00
77,6,rotate,94.6,101,2025-10-05,2025-10-05 09:49:00
78,7,grasp,95.6,83,2025-10-05,2025-10-05 08:28:00
79,7,flex,94.7,108,2025-10-05,2025-10-05 09:43:00
80,7,release,91.2,118,2025-10-05,2025-10-05 13:37:00
81,8,release,93.6,123,2025-10-05,2025-10-05 08:23:00
82,8,grasp,93.4,115,2025-10-05,2025-10-05 08:45:00
83,4,release,91.1,124,2025-10-06,2025-10-06 15:43:00
84,4,release,98.9,114,2025-10-06,2025-10-06 16:00:00
85,4,flex,91.4,108,2025-10-06,2025-10-06 16:17:00
86,5,flex,99.5,115,2025-10-06,2025-10-06 09:37:00
87,5,rotate,96.6,104,2025-10-06,2025-10-06 10:21:00
88,5,rotate,98.4,85,2025-10-06,2025-10-06 14:00:00
89,6,flex,94.0,78,2025-10-06,2025-10-06 19:04:00
90,6,flex,94.1,88,2025-10-06,2025-10-06 17:00:00
91,7,release,97.6,76,2025-10-06,2025-10-06 08:00:00
92,7,flex,92.1,111,2025-10-06,2025-10-06 17:17:00
93,7,release,98.8,95,2025-10-06,2025-10-06 08:59:00
94,7,rotate,98.4,76,2025-10-06,2025-10-06 19:25:00
95,8,flex,95.7,117,2025-10-06,2025-10-06 18:00:00
96,8,rotate,91.8,77,2025-10-06,2025-10-06 10:39:00
97,8,point,91.0,86,2025-10-06,2025-10-06 19:25:00
98,4,point,98.0,92,2025-10-07,2025-10-07 14:59:00
99,4,point,93.6,108,2025-10-07,2025-10-07 10:42:00
100,4,release,96.1,98,2025-10-07,2025-10-07 13:38:00
101,4,rotate,93.9,105,2025-10-07,2025-10-07 16:00:00
102,5,rotate,97.4,112,2025-10-07,2025-10-07 16:34:00
103,5,release,93.7,115,2025-10-07,2025-10-07 10:32:00
