telemetry_id,customer_id,session_date,usage_minutes,movement_count,error_count,battery_level,signal_quality,created_at
1,4,2024-12-01,120,450,2,85,95.5,2024-12-01 20:00:00
2,4,2024-12-02,180,680,1,78,92.3,2024-12-02 21:30:00
3,4,2024-12-03,90,320,0,92,97.1,2024-12-03 19:45:00
4,5,2024-12-01,60,180,3,88,89.7,2024-12-01 18:30:00
5,5,2024-12-02,150,520,1,75,91.2,2024-12-02 20:15:00
6,5,2024-12-03,200,710,2,68,88.9,2024-12-03 22:00:00
7,6,2024-12-01,180,620,1,82,94.5,2024-12-01 21:00:00
8,6,2024-12-02,120,410,0,90,96.8,2024-12-02 19:30:00
9,4,2025-10-01,113,366,2,94,93.9,2025-10-01 19:26:00
10,5,2025-10-01,202,1204,4,78,87.6,2025-10-01 21:40:00
11,6,2025-10-01,111,574,2,94,90.2,2025-10-01 18:12:00
12,7,2025-10-01,181,930,2,82,93.0,2025-10-01 19:28:00
13,8,2025-10-01,202,813,3,81,95.5,2025-10-01 23:32:00
14,4,2025-10-02,120,374,3,69,97.1,2025-10-02 18:36:00
15,5,2025-10-02,209,1253,0,68,90.2,2025-10-02 20:16:00
16,6,2025-10-02,126,740,2,84,96.3,2025-10-02 19:13:00
17,7,2025-10-02,144,454,0,89,88.3,2025-10-02 21:24:00
18,8,2025-10-02,203,1205,1,60,97.5,2025-10-02 19:29:00
19,4,2025-10-03,168,711,2,64,94.4,2025-10-03 21:41:00
20,5,2025-10-03,210,624,1,86,92.3,2025-10-03 23:17:00
21,6,2025-10-03,133,700,4,89,97.7,2025-10-03 18:54:00
22,7,2025-10-03,122,581,1,79,87.8,2025-10-03 19:38:00
23,8,2025-10-03,209,1082,4,92,87.1,2025-10-03 18:09:00
24,4,2025-10-04,203,1057,1,66,96.5,2025-10-04 20:47:00
25,5,2025-10-04,181,897,4,91,86.9,2025-10-04 18:04:00
26,6,2025-10-04,189,1143,3,76,85.4,2025-10-04 19:09:00
27,7,2025-10-04,145,597,2,80,86.4,2025-10-04 23:40:00
28,8,2025-10-04,131,772,1,72,92.5,2025-10-04 22:29:00
29,4,2025-10-05,180,682,1,61,96.1,2025-10-05 21:32:00
30,5,2025-10-05,219,623,3,78,89.1,2025-10-05 21:04:00
31,6,2025-10-05,125,341,2,72,95.6,2025-10-05 18:54:00
32,7,2025-10-05,155,633,4,90,90.4,2025-10-05 19:53:00
33,8,2025-10-05,226,1099,1,88,85.3,2025-10-05 23:08:00
34,4,2025-10-06,169,979,4,62,85.4,2025-10-06 23:00:00
35,5,2025-10-06,126,726,4,65,85.4,2025-10-06 21:26:00
36,6,2025-10-06,111,538,2,61,93.9,2025-10-06 19:38:00
37,7,2025-10-06,115,663,3,95,92.4,2025-10-06 23:49:00
38,8,2025-10-06,221,851,2,81,95.6,2025-10-06 22:28:00
39,4,2025-10-07,224,693,1,64,87.8,2025-10-07 21:51:00
40,5,2025-10-07,109,504,4,88,93.0,2025-10-07 18:05:00
41,6,2025-10-07,163,654,2,78,85.2,2025-10-07 19:02:00
42,7,2025-10-07,163,477,1,72,93.8,2025-10-07 22:13:00
